Year,Player_ID,First_name,Last_name,Full_name,Position,Height_inches,Weight_lbs,Wingspan_inches,Standing_reach_inches,VJ inches,Running_VJ_Inches,Lane_agility,Sprint_3qtr_court,Bench_press_135,Body_fat_perc
2003,2470,Smush,Parker,Smush Parker,PG,74.5,179,82,107.5,21,28.5,12.3,3.26,1,NA
2003,2458,Luke,Recker,Luke Recker,SG,76.75,198,79,101,25.5,31,10.78,3.27,13,NA
2003,12061,Rolan,Roberts,Rolan Roberts,PF,77.75,241,85,105.5,32.5,37.5,11.36,3.33,16,NA
2003,12062,Travis,Robinson,Travis Robinson,SF,77.25,211,82.5,104.5,26,33,11.96,3.43,3,NA
2003,2416,Kareem,Rush,Kareem Rush,SG,76.75,199,81.75,103.5,26,30,11.86,3.22,15,NA
2003,12063,Brooks,Sales,Brooks Sales,PF,81,232,82,108,26,29.5,11.05,3.29,13,NA
2003,2422,John,Salmons,John Salmons,SF,77.5,207,82.25,104,30.5,34.5,11.35,3.25,12,NA
2003,2453,Predrag,Savovic,Predrag Savovic,SG,76.75,212,79,102,22.5,28.5,10.94,3.38,13,NA
2003,201324,Julian,Sensley,Julian Sensley,PF,79,228,83.5,105.5,27.5,31.5,11.85,3.32,8,NA
2003,12064,Israel,Sheinfeld,Israel Sheinfeld,PF,80.25,239,81.75,106.5,NA,NA,NA,NA,8,NA
2003,12065,Preston,Shumpert,Preston Shumpert,SF,78,197,80.5,103.5,28.5,29,11.03,3.24,9,NA
2003,2447,Tamar,Slay,Tamar Slay,SF,78.75,203,83.5,104,32.5,38,10.94,3.09,11,NA
2003,2443,Darius,Songaila,Darius Songaila,PF,80,240,85,108.5,24.5,29.5,11.69,3.52,8,NA
2003,2405,Amar'e,Stoudemire,Amar'e Stoudemire,PF,80.5,233,85.75,108.5,32,35.5,11.19,3.25,12,NA
2003,2445,Marcus,Taylor,Marcus Taylor,PG,73,181,76.5,98.5,27.5,33.5,11.25,3.31,4,NA
2003,12297,Jobey,Thomas,Jobey Thomas,SG,74.75,183,77.75,99.5,26,32,11.46,3.3,13,NA
2003,2402,Dajuan,Wagner,Dajuan Wagner,PG,72.75,193,74,99,28,35,12.03,3.22,16,NA
2003,2404,Chris,Wilcox,Chris Wilcox,PF,80.25,218,85,107.5,31,34.5,11.43,3.16,20,NA
2003,2421,Frank,Williams,Frank Williams,PG,73.5,212,80,100.5,26,31,11.73,3.29,NA,NA
